text1,text2
Le choix et les prix sont satisfaisants. Les délais annoncés ne sont pas respectés sur la plupart des commandes faites. Annoncer une date et livrer finalement le matériel 2 à 5 jours plus tard n'est pas très honnête.,Le choix et les prix sont satisfaisants. Les délais annoncés ne sont pas respectés sur la plupart des commandes faites. Annoncer une date et enfin livrer le matériel 2 à 5 jours plus tard n'est pas très honnête.
Tout était OK. Produit ok livraison ok mais les prix de livraison inadmissible beaucoup trop cher,Tout allait bien. Produit ok livraison ok mais des prix de livraison inacceptables beaucoup trop cher
Super site comme d'habitude Commande reçu très rapidement Aucun problème merci Oscaro.,Super site comme d'habitude Commande reçue très rapidement Aucun problème merci Oscaro.
rien a dire juste parfait,Rien à dire juste parfait
Rapidité simplicité très bien .,La simplicité de vitesse très bien.
Délai de livraison trop élevé La piece que vous m'avez livré ne correspond pas à mon véhicule alors que vous indiquez qu'elle correspond........,Délai de livraison trop haut La pièce que vous m'avez livrée ne correspond pas à mon véhicule alors que vous indiquez qu'elle correspond à mon véhicule...
rapidité de réponse et envoie des pièces bien protégé tous est bien gérée et organiser,réponse rapide et envoyer des pièces bien protégées tout est bien géré et organisé
Produit bon rapport qualité prix Service de livraison nul 4 messages qui se contredisent .delais de livraison long. Changement de point de livraison 3 fois? Durèe 8 jours.,Produit bon rapport qualité/prix Service de livraison null 4 messages qui contredisent .delays de livraison longue. Changement de point de livraison 3 fois? 8 derniers jours.
le matériel est conforme aux attentes mais le délai de livraison est trop long ! 4 jours de livraison ? résultat voiture immobilisée 7 jours,l'équipement répond aux attentes mais le délai de livraison est trop long! 4 jours de livraison ? résultat voiture immobilisée 7 jours
Bon rapport qualité prix. Envoi rapide,Bon rapport qualité/prix. Expédition rapide
Tout est parfait sauf le délai de livraison,Tout est parfait sauf le délai de livraison
paquet arrivé comme promis intact et à la bonne date,le colis est arrivé tel que promis intact et à la bonne date
"Pièces livrées rapidement, me reste a les installer pour voir si tout correspond.","Les pièces livrées rapidement, je dois encore les installer pour voir si tout va bien."
Précis facile et rapide Super,Facile et rapide Precise Super
Parfait en tout points,Parfait à tous les points
Pièce commandée très spécifique. Livrée en temps et heure. Bien emballée mais sans superflu. Conforme à 100% à la pièce d'origine.,Pièce de commande très spécifique. Livré dans le temps et le temps. Bien emballé mais pas superflu. 100% conforme à la pièce d'origine.
J'ai passé une commande que j'ai reçu le vendredi 30/10/2025 pour des roulement arrières de ma Mégane 1 phase 2 : immatriculé EQ-396-KW. Vous avez envoyer les mauvais roulement. Numéro de colis : 97080140. Sur une boite de roulement il i a les voiture sur lesquelles les monté sauf sur la mienne il i a donc un problème sur vos références et le magasinier qui a ait l'expédition. Maintenant je suis dans la mouises.. Dites moi ce que vous allez faires le plus rapidement possible ???,"J'ai passé commande le vendredi 30/10/2025 pour les roulements arrière de ma Mégane 1 phase 2: enregistré EQ-396-KW. Vous avez envoyé les mauvais roulements. Numéro de paquet: 97080140. Sur une boîte de roulement, j'ai les voitures sur lesquelles le monté sauf sur la mienne donc il a un problème sur vos références et le magasinier qui a l'expédition. Maintenant, je suis dans les mouillés.. Dites-moi ce que vous allez faire le plus rapidement possible ???"
la pièce que j'ai acheter ne se le pas neuf et semble même déjà utilisé,La pièce que j'ai achetée n'est pas neuve et semble même utilisée
Le matériel fournis est de bonne qualité et à un prix raisonnable Je recommande Oscaro qui livre rapidement !!,Le matériel fourni est de bonne qualité et à un prix raisonnable je recommande Oscaro qui livre rapidement!!
expedition et produits parfaits,expédition parfaite et produits
Commande traité et livré rapidement,Commande traitée et livrée rapidement
"Colis reçu, tube de graisse percé par la brosse métallique, car la brosse et le tube n'étaient pas emballés.","Emballage reçu, tube de graisse percé par le pinceau métallique, car le pinceau et le tube n'étaient pas emballés."
Comme a chaque commande tout est parfait a part la livraison en plusieurs colis. Il serait intéressant de faire un seul colis surtout quand les pièces sont légères,Comme chaque commande tout est parfait en dehors de la livraison dans plusieurs paquets. Il serait intéressant de faire un seul paquet surtout lorsque les pièces sont légères
Je ne sais pas qui est responsable si c est Oscaro ou mondial Relay mais J ai récupéré mon colis ouvert que ce soit le carton de livraison le scotch était décollé comme le carton de la pièce pas refermé a l intérieur.,Je ne sais pas qui est responsable si c'est Oscaro ou Global Relay mais j'ai récupéré mon colis ouvert si c'est le carton de livraison le scotch a été enlevé comme le carton de la pièce non fermé à l'intérieur.
Produits conformes Par contre la livraison n'a pas été correct C'est pas le fait d'oscaro mais mon carton d'emballage a été ouvert ainsi que le carton du produit commandé à l'intérieur. Sans doute en vu de voler ce qu'il y avait dedans.,Produits conformes D'autre part la livraison n'était pas correcte Ce n'est pas le fait d'oscaro mais mon emballage carton a été ouvert ainsi que le carton du produit commandé à l'intérieur. Sans doute voir comment voler ce qui était dedans.
- Facilté de recherche de l'identification du véhicule en fonction du VIN - Catégorisation de la pièce - Disponibilité de la pièce,- Facilité de recherche de l'identification du véhicule selon le VIN - Catégorisation de la pièce - Disponibilité de la pièce
"Aucun problème, commande et livraison.","Pas de problème, commande et livraison."
Facile pour les achats tous et clair,Facile pour tous les achats et clair
Super! Article conforme à la présentation mais il faut quand même un peu chercher le numéro eom pour avoir le bon,"Super! Article conforme à la présentation, mais vous devez toujours chercher le nombre d'eom pour obtenir le bon"
Simple à choisir l article que choisir explique bien le délai de livraison était pas trop long et arrivé avant la date ..,Simple de choisir l'article qui choisit bien explique le délai de livraison n'était pas trop long et est arrivé avant la date ..
Délai de livraison trop long malgré la demande d'expédition urgente par chronopost et manque d'information sur celle-ci.,Délai de livraison trop long malgré la demande urgente d'expédition par chronopost et le manque d'informations à ce sujet.
délais tenus et materiel de qualité,délais et matériel de qualité
Satisfait des pièces commandées.,Satisfait de pièces commandées.
"J'ai commandé des filtres et accessoires pour vidange. Obligé d'appeler le service client pour confirmer les éléments compatibles avec ma voiture car la plaque d'immatriculation n'est pas reconnue. Par contre, elle est reconnue sur d'autres sites. Les pièces reçues sont compatibles. L'autre point négatif c'est la durée de livraison; plus d'une semaine pour la région parisienne. Sinon, tout s'est bien passé. Site fiable et service client réactif.","J'ai commandé des filtres et accessoires pour vider. Obligatoire pour appeler le service client pour confirmer les éléments compatibles avec ma voiture parce que la plaque d'immatriculation n'est pas reconnue. D'autre part, il est reconnu sur d'autres sites. Les pièces reçues sont compatibles. L'autre point négatif est le délai de livraison; plus d'une semaine pour la région de Paris. Sinon, tout s'est bien passé. Site fiable et service client réactif."
Une fois la commande passée le délai de traitement est beaucoup trop lent par rapport au concurrent principal qui lui traite et s'occupe de l'expédition dans un délai plus court et raisonnable.,Une fois que la commande a passé le temps de traitement est beaucoup trop lent par rapport au principal concurrent qui traite et traite l'expédition dans un délai plus court et raisonnable.
Produits conforme et rapidité dans la livraison,Produits de conformité et vitesse de livraison
Matériel livré conforme et de bonne qualité.,Le matériel livré est conforme et de bonne qualité.
Site Web clair Compatibilité vérifiée avec mon véhicule. Livraison pas cher. Piece reçu très bien emballée Nickel,Site Web clair Compatibilité vérifié avec mon véhicule. Livraison pas cher. reçu pièce très bien emballé Nickel
Livraison trop lente pièce pas assez précise,La livraison trop lente n'est pas assez précise
"Commander correspond à mes achats. Le pot d'échappement a des soudures très moyen. Pour des professionnels de la soudure, ceci n'est pas propre","La commande correspond à mes achats. L'échappement a des soudures très moyennes. Pour les professionnels des soudures, ce n'est pas propre"
"J'ai commandé un cardan avec le matricule du véhicule, un autre après conseil d'un employé Oscaro. Les deux n'étaient pas conformes à l'orignal de la marque. J'en ai cherché un troisième, mais pour le modèle qui correspondait, aucune disponibilité. J'ai le prix de 2 cardans dans la nature, plus le troisième que j'ai dû prendre près de chez moi. (3 à 4 semaines pour le remboursement, je trouve ça excessif, compte tenu du service fourni.) Sans compter l'attente pour la fourniture des pièces. ( J'ai eu le troisième le lendemain de ma commande.)","J'ai commandé un cardan avec le numéro du véhicule, un autre après l'avis d'un employé Oscaro. Les deux n'étaient pas en ligne avec l'orignal de la marque. Je cherchais un troisième, mais pour le modèle qui correspondait, pas de disponibilité. J'ai le prix de 2 cardans dans la nature, plus le troisième que j'ai dû emporter près de chez moi. (3 à 4 semaines pour le remboursement, je le trouve excessif, étant donné le service fourni.) Sans compter l'attente pour la fourniture des pièces. (J'ai eu le troisième le jour suivant ma commande.)"
"Rapidite d envoi de pieces, bien emballé, bonne qualité. Chaque fois que j ai commandé des pieces.,je n est jamais déçu, continuer votre savoir faire, Abientot","Livraison rapide des pièces, bien emballé, de bonne qualité. Chaque fois que je commande des pièces., je ne suis jamais déçu, continuer votre savoir-faire, Abientot"
Produits non calés dans le carton une ampoule est cassee elle na pas du supporter les plaquettes de frein qui se promenent dans le meme carton,Produits non fixés dans le carton une ampoule est cassée il n'avait pas à soutenir les plaquettes de frein qui marchent dans le même carton
Super et livraison prévue entre le 24 et 27 et finalement arrivé le 23,Grande et attendue livraison entre 24 et 27 et finalement arrivé le 23ème
Bonne pour la rapidité d’expédition et de livraison. Mauvaise pour le relay colis,Bon pour l'expédition et la livraison rapides. Mauvais pour les colis relais
"Bon prix, délai de livraison rapide, site simple à utiliser","Bon prix, délai de livraison rapide, site simple à utiliser"
La batterie etait abimer dans le carton malheureusement je n’est pas le choix de la mettre car je suis en panne,La batterie a été endommagée dans le carton malheureusement je ne suis pas le choix de le mettre parce que je suis hors de commande
"Assez simple : j'achète des plaquettes de freins bosh donc neuves. Elles arrivent avec du Scotch sur la languette... donc produit ouvert mais payé neuf... Et c'est un parcours pour essayer d'avoir des infos... leur boîte mail est inactive, teleconseiller impossible de l'avoir. Donc tant pis mais je ne commanderai plus. Décevant","Assez simple: J'achète des plaquettes de frein bosh si neuves. Ils arrivent avec Scotch sur l'onglet... donc produit ouvert mais payé pour nouveau... et c'est un voyage pour essayer d'obtenir des informations... leur boîte aux lettres est inactive, télévisant impossible de l'avoir."
produit correct mais chronopost nul j'ai payé 12.90€ délai non respecté livraison prevu le 17 juillet mais éffectuée le 18 par la poste OSCARO VIENS DE ME REMBOURSER LES FRAIS D ENVOI SOIT 12.99€ GRAND MERCI,produit correct mais chronopost null J'ai payé 12.90€ de retard non respecté livraison prévue le 17 Juillet mais livré le 18 par la poste OSCARO PROCEDES À REMERCIER LES DÉPENSES D COMMODITY DROITE 12.99€ GRAND MERCI
"Pour cette expérience RAS, mais la dernière commande que j'ai retourné (une paire d'essuie glace) cela m'a coûté plus cher que le produit.","Pour cette expérience RAS, mais la dernière commande que j'ai retournée (une paire d'essuie-glace) m'a coûté plus que le produit."
C’est très bon produit,C'est un très bon produit.
Je commande un modèle de disque spécifique et on le remplace le modèle par un modele qui n’est pas dutout le même sans me demander mon avis. Je ne trouve pas cela correct !,Je commande un modèle de disque spécifique et nous le remplaçons par un modèle qui n'est pas du tout le même sans demander mon avis. Je ne le trouve pas correct!
Exactement la pièce qu'il me falait. Je n'étais pas sur car descriptif un peu léger. mais ça s'est bien passé.,"Je n'étais pas sûr parce que c'était un peu descriptif, mais ça s'est bien passé."
Correspond bien pour un moteur essence de 1.2 l de chez Renault ou autres marques,"Correspond bien pour un moteur essence de 1,2 l de Renault ou d'autres marques"
"Site très fiable, commande reçu très vite","Site très fiable, commande reçue très rapidement"
"Magnifique conseillère performante, agréable, idem pour les conseiller vu que j’ai dû rappeler. Non vraiment bon suivi client","Magnifique et efficace conseiller, agréable, idem pour les conseillers depuis que je devais rappeler. Pas vraiment bon client de suivi"
"J ai reçu mes colis très vite,seule bémol,un carton était un peu troué","J'ai reçu mes colis très rapidement, seulement à plat, une boîte était un peu trouée."
Commande livré rapidement.,Commande livrée rapidement.
rapide et connforme,rapide et cohérent
Je n'ai jamais eu de soucis avec Oscaro et le service client est de qualité donc je reste client,Je n'ai jamais eu de problème avec Oscaro et le service à la clientèle est bon donc je suis toujours un client.
Tout était bien,Tout allait bien.
"Bonjour, cela fait plusieurs années que je commende chez oscaro je n'ai jamais était dessue par la qualité des pièces et l'envoie est rapide. Je remercie toute l'équipe d'oscaro.","Bonjour, ça fait plusieurs années que j'ai commencé à oscaro Je n'ai jamais été démuni par la qualité des pièces et l'envoi est rapide. Je remercie toute l'équipe d'oscaro."
Rapide et bonne pièces,Pièces rapides et bonnes
Tout commence par un colis ouvert à la réception car colis mal emballé. Puis j'essaie de monter mes essuies glaces et ce n'est pas la bonne référence alors que j'avais sélectionné cette dernière depuis ma plaque d'immatriculation.... Bref pas très satisfait ... Je modifie mon avis et félicite l'équipe d'Oscaro qui a su reprendre mes essuies glaces et me rembourser en moins de 5 jours. J'y perds les frais d'expédition mais c'est le jeu. Merci à vous Oscaro malgré tout.,"Tout commence par un paquet ouvert à la réception parce que les paquets ne sont pas bien emballés. Ensuite, j'essaie de monter mes lingettes et ce n'est pas la bonne référence quand j'ai sélectionné ce dernier de ma plaque d'immatriculation.... En bref pas très satisfait ... Je modifie mon opinion et félicite l'équipe d'Oscaro qui a réussi à reprendre mes lingettes et me rembourser en moins de 5 jours. Je perds les frais d'expédition mais c'est le jeu. Merci à vous Oscaro malgré tout."
Produits correspondants à ma commande livraison très correcte,Produits correspondant à ma livraison de commande très correcte
Qualité du service,Qualité du service
La commande s'est bien passée et la livraison aussi très rapide je recommande,La commande s'est bien passée et la livraison aussi très rapide je recommande
"Conformité et delai optimum, emballage au top","Conformité et retard optimal, emballage supérieur"
"Nickel de la commande à la livraison, parfaitement adapté à mon véhicule.","Nickel de la commande à la livraison, parfaitement adapté à mon véhicule."
bonjour Commande réceptionnée très rapidement mais de à quoi sert d'envoyer la plaque d'immatriculation si les pièces achetées sont les mauvaises,Bonjour Commande reçue très rapidement mais quel est le but de l'envoi de la plaque d'immatriculation si les pièces achetées sont les mauvaises
"L'envoi,comme la réception de nos colis","Envoyer, comme recevoir nos colis"
"Top, produit répond à mes attentes","Top, le produit répond à mes attentes"
Sentiment d’arnaque pour des barres de toit à 120€… Encore du matos chinois… Très déçu par la qualité.. je préfère rester poli..,Sens d'argot pour les bars de toit de 120€... Plus de matériel chinois... Très déçu par la qualité..Je préfère rester poli..
Site pratique et simple d'accès...réactivité tant pour les notifications que pour la livraison,Site pratique et accès simple...réactivité à la fois pour les notifications et la livraison
"J’ai commandé des rotules de direction de bonne marque (meyle). La livraison a été rapide et conforme. Cependant, 3 semaines après, le soufflet d’une rotule était complètement craquelé. Après dialogue avec le SAV, une nouvelle pièce va m’être envoyée sous 15j.","J'ai commandé de bonnes rotules de direction (meyle). La livraison était rapide et conforme. Cependant, 3 semaines plus tard, les soufflets d'une rotule ont été complètement fissurés. Après dialogue avec le VAS, une nouvelle pièce sera envoyée dans les 15 jours."
Les Pieces ne correspondent pas au modèle sélectionné. De plus les emballages semblent avoir déjà été ouverts.,"Les pièces ne correspondent pas au modèle sélectionné. De plus, l'emballage semble avoir déjà été ouvert."
Prix compétitifs par rapport à d'autres enseignes pour les mêmes produits.,Prix compétitifs par rapport à d'autres marques pour les mêmes produits.
"Commande facile, livraison rapide, et bons prix. Je n'ai jamais constaté d'erreur sur les pièces livrées. En revanche, une suggestion d'amélioration concernant l'emballage : Lorsque dans le même emballage sont livrées des pièces très lourdes (ex: disques de freins) et des pièces fragiles (ex: filtres air ou habitacle) ces dernières sont un peu malmenées. Il faudrait mieux immobiliser les pièces lourdes dans le carton au moment de l'emballage.","Commande facile, livraison rapide et bon prix. Je n'ai jamais remarqué d'erreur sur les pièces livrées. D'autre part, une suggestion d'amélioration concernant l'emballage: Quand dans le même emballage sont livrés des pièces très lourdes (par exemple des disques de frein) et des pièces fragiles (par exemple des filtres à air ou de la cabine) ces derniers sont un peu rugueux. Il serait préférable d'immobiliser les pièces lourdes dans la boîte au moment de l'emballage."
Prix correct et délais tenu,Prix correct et délais
Rapide et prix correct,Prix rapide et correct
Livrer rapidement pièce identité à l’origine,Fournir rapidement le document d'identité original
Produits de bonne qualité livraison rapide,Livraison rapide de produits de bonne qualité
Livraison pratique en locker,Livraison pratique dans le casier
"Qualité et prix au rendez -vous ! Mais il ne faut pas être pressé à recevoir les pièces ,environ 10 jours ,malgré lors de la commande en stock sous 2 jours !!","Qualité et prix au rendez-vous! Mais vous ne devriez pas être pressé pour recevoir les pièces, environ 10 jours, malgré la commande en stock dans les 2 jours!!"
"Aussitôt reçu, aussitôt monté..rien à reprocher 👍","Immédiatement reçu, immédiatement monté..rien à reprocher."
Modèle conforme de feu arrière pour ma Toyota proposé immédiatement,Modèle de lumière arrière conforme pour mon Toyota proposé immédiatement
"Retrait colis loin de chez moi, dommage… Un essuie glace plus petit que celui d’origine donc perte de zone couverte","Retrait du colis loin de la maison, dommages... Un essuie-glace plus petit que l'original ainsi perte de la zone couverte"
"Malgré le fait de vérifier la bonne sélection de mon véhicule, pièce non compatible ! Le service client nous annonce que c'est normal que c'est le bon véhicule la bonne série et que le constructeur a une multitude de montages différents !!! Une première dans l'histoire automobile...on va me déduire du remboursement 9€99 pour le retour colis, pas d'échange possible. Une honte!!! A fuir, la dernière fois que je vais sur ce site.","Malgré le fait de vérifier la sélection correcte de mon véhicule, partie non compatible! Le service client nous informe qu'il est normal qu'il soit le bon véhicule la bonne série et que le constructeur a une multitude de montages différents!!! Une première dans l'histoire de l'automobile... Je serai déduit du remboursement 9€99 pour le colis de retour, pas d'échange possible. Une honte!!! Pour m'échapper, la dernière fois que je vais sur ce site."
"Commande suite à appel pour compatibilité pièces , personne charmante. Colis reçu rapidement, bien emballé. Efficace","Commande de commande pour la compatibilité des pièces, personne charmante. Package reçu rapidement, bien emballé. Efficace"
"Livraison rapide. J'ai reçu un lève vitre AV G A tous les moments de la procédure, sauf à MA commande, il n'est pas mentionné que c'est pour la portière chauffeur. Si c'est réversible ....OK pas de soucis mais je ne vais pas le remplacer maintenant. Je viens de le remplacer et c'est ok merci bien. Sinon c'est une pièce détachée que je remplace et non pas un numéro de référence. En tout cas, merci pour tout!","Livraison rapide. J'ai reçu un ascenseur de fenêtre AV G à tout moment de la procédure, sauf à MA commande, il n'est pas mentionné que c'est pour la porte du conducteur. S'il est réversible ....OK pas de soucis mais je ne le remplacerai pas maintenant. Je viens de le remplacer et il est ok merci bien. Sinon c'est une partie détachée que je remplace et pas un numéro de référence. En tout cas, merci pour tout!"
"Je connaissais déjà, c'est une valeur sûre","Je le savais déjà, c'est une valeur sûre."
Les délais de livraison ont été un peu plus long que prévu et un des articles était inutilisable (je ne sais pas si il n'était pas adapté où s'il y avait un problème à la production).,Les délais de livraison étaient un peu plus longs que prévu et l'un des articles était inutilisable (je ne sais pas s'il ne convenait pas ou s'il y avait un problème de production).
produits conformes mais pourquoi ne pas proposer u produit qui est en rupture de stock ? alors qu'il suffirait de proposer un produit de substitution. Du coup ma commande était incomplète et .. faire une vidange sans filtre à huile c'est ... comment dire... ballot !,produits conformes mais pourquoi ne pas proposer u produit qui est en rupture de stock ? alors qu'il suffirait de proposer un produit de remplacement. Donc ma commande était incomplète et .. faire un égout sans filtre à huile est ... comment dire... bulletin de vote !
Rapide est efficace,Rapide est efficace
Articles conformes sont bien arrivés Prix intéressants grâce au black friday livraison un peu longue et surtout emballage ouvert et déchiré sans rien pour caler les articles a l'intérieur Je pense que ce serait dû lors du transport à des personnes malveillantes Heureusement il ne manque rien et rien de cassé,Les articles conformes sont bien arrivés Des prix intéressants grâce à la livraison vendredi noir un peu long et surtout des emballages ouverts et déchirés sans rien pour réparer les articles à l'intérieur Je pense que ce serait dû pendant le transport aux personnes malveillantes Heureusement il n'y a rien manquant et rien cassé
Très satisfaite,Très satisfait
"J'ai commandé des chaines à partir de l'immatriculation de mon véhicule Les chaines reçues ne correspondaient pas aux dimensions de mes pneus (d'origine) J'ai recommandé les bonnes chaines en ajoutant les dimension des pneus J'ai retourné les anciennes chaines, sans même ouvrir le produit Et j'ai perdu 9,99 € dans l'affaire !","J'ai commandé des chaînes de l'immatriculation de mon véhicule Les chaînes reçues ne correspondaient pas aux dimensions de mes pneus (original) J'ai recommandé les chaînes droites en ajoutant les dimensions des pneus que j'ai retournés les vieilles chaînes, sans même ouvrir le produit Et j'ai perdu 9,99 € dans le cas!"
Rapidité et efficacité,Vitesse et efficacité
Reçu assez rapidement. Pièces conformes.,Reçu assez rapidement.
Commande simple recherche de pièces simple traitement de la commande rapide,Recherche simple de contrôle pour les pièces traitement simple du contrôle rapide
"Bonjour Avec OSCARO aucun problème envoi rapide un produits reçus conformes a ma commande. Le seul gros problème c'est Co;lissimo qui a mit une semaine pour me livrer, pas chez moi, comme prévu mais au bureau de poste. Tout ça pour 8.99€. Pour moi ce n'est pas la première fois. Je ne passerais plu jamais par eux. Cordialement.","Bonjour avec OSCARO pas de problème expédition rapide un produit reçu selon ma commande. Le seul gros problème est Co;lissimo qui a pris une semaine pour me livrer, pas à la maison, comme prévu, mais à la poste. Tout cela pour 8.99€. Pour moi ce n'est pas la première fois. Je ne passerais jamais par eux. Cordialement."
Bon rapport qualité / prix et de nombreux choix.,Un bon rapport qualité/prix et de nombreux choix.
Niquel avec de bon prix,Niquel à bon prix
C est la premiere foisque je commande !chez et j en suit tres satisfait,C'est la première fois que je commande !chez et je suis très satisfait
Les prix sont bon mais a revoir les delais aujourd'hui on peut livrer en 2 jours,Les prix sont bons mais pour revoir les retards aujourd'hui nous pouvons livrer en 2 jours
